procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 2  0      0   2827     14   1878    0    0  3240 21716    0  129 35  7 41 17  0  0 2025-12-22 10:48:18
 1  0      0   2440     14   1878    0    0     0     0    0 2677 77 13 10  0  0  0 2025-12-22 10:48:19
 1  0      0   1972     14   1878    0    0     0     0    0 2219 71 20  9  0  0  0 2025-12-22 10:48:20
 1  0      0   2031     14   1878    0    0     0     0    0 2739 77 14  9  0  0  0 2025-12-22 10:48:21
 1  0      0   2188     14   1878    0    0     0     0    0 2732 82  9  9  0  0  0 2025-12-22 10:48:22
 1  0      0   2297     14   1878    0    0     0     0    0  953 84  9  7  0  0  0 2025-12-22 10:48:23
 1  0      0   1963     14   1878    0    0     0     0    0   91 79 12  9  0  0  0 2025-12-22 10:48:24
 1  0      0   1933     14   1878    0    0     0     0    0  333 78 13  9  0  0  0 2025-12-22 10:48:25
 1  0      0   1994     14   1878    0    0     0     0    0  407 79 12  9  0  0  0 2025-12-22 10:48:26
 1  0      0   2174     14   1878    0    0     0     0    0 2473 83  8  9  0  0  0 2025-12-22 10:48:27
 1  0      0   2295     14   1878    0    0     0     0    0 2781 81 10  9  0  0  0 2025-12-22 10:48:28
 1  0      0   1935     14   1878    0    0     0     0    0 2774 80 11  9  0  0  0 2025-12-22 10:48:29
 1  0      0   1929     14   1878    0    0   128     0    0 2246 77 14  9  0  0  0 2025-12-22 10:48:30
