procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 1  0      0   2826     14   1878    0    0   256  1612    0   11  3  1 95  1  0  0 2025-12-22 10:48:10
 1  0      0   2355     14   1878    0    0     0     0    0 3090 56 35  9  0  0  0 2025-12-22 10:48:11
 1  0      0   2324     14   1878    0    0     0     0    0 3013 90  1  9  0  0  0 2025-12-22 10:48:12
 1  0      0   2320     14   1878    0    0     0     0    0 3043 89  2  9  0  0  0 2025-12-22 10:48:13
 1  0      0   2311     14   1878    0    0     0     0    0 3368 90  1  9  0  0  0 2025-12-22 10:48:14
 1  0      0   2281     14   1878    0    0     0     0    0 3116 90  1  9  0  0  0 2025-12-22 10:48:15
 1  0      0   2241     14   1878    0    0     0     0    0 3340 90  1  9  0  0  0 2025-12-22 10:48:16
 1  0      0   2206     14   1878    0    0     0     0    0 2999 89  1 10  0  0  0 2025-12-22 10:48:17
 1  0      0   2176     14   1878    0    0     0     0    0 3016 89  2  9  0  0  0 2025-12-22 10:48:18
 1  0      0   2142     14   1878    0    0     0     0    0 2987 91  0  9  0  0  0 2025-12-22 10:48:19
 1  0      0   2110     14   1878    0    0     0     0    0 2996 90  1  9  0  0  0 2025-12-22 10:48:20
 1  0      0   2051     14   1878    0    0     0     0    0 3088 90  1  9  0  0  0 2025-12-22 10:48:21
 1  0      0   2026     14   1878    0    0     0     0    0 2733 89  2  9  0  0  0 2025-12-22 10:48:22
 1  0      0   1994     14   1878    0    0     0     0    0 2982 90  1  9  0  0  0 2025-12-22 10:48:23
 1  0      0   1963     14   1878    0    0     0     0    0 2989 90  1  9  0  0  0 2025-12-22 10:48:24
 1  0      0   1938     14   1878    0    0     0     0    0 2993 89  2  9  0  0  0 2025-12-22 10:48:25
 1  0      0   1824     14   1878    0    0     0     0    0 3186 68 23  9  0  0  0 2025-12-22 10:48:26
 1  0      0   1796     14   1878    0    0     0 24748    0 3396 91  1  8  0  0  0 2025-12-22 10:48:27
 1  0      0   1769     14   1878    0    0     0     0    0 3555 90  1  9  0  0  0 2025-12-22 10:48:28
 1  0      0   1754     14   1878    0    0     0     0    0 3776 89  3  8  0  0  0 2025-12-22 10:48:29
 1  0      0   1726     14   1878    0    0     0     0    0 3310 90  1  9  0  0  0 2025-12-22 10:48:30
 1  0      0   1698     14   1878    0    0     0     0    0 2840 90  1  9  0  0  0 2025-12-22 10:48:31
 1  0      0   1663     14   1878    0    0     0 103944    0 2306 89  3  8  0  0  0 2025-12-22 10:48:32
 1  0      0   1648     14   1878    0    0     0     0    0 2299 90  3  7  0  0  0 2025-12-22 10:48:33
 1  0      0   1621     14   1878    0    0     0     0    0 2468 90  1  9  0  0  0 2025-12-22 10:48:34
 1  0      0   1594     14   1878    0    0     0     0    0 2460 90  1  9  0  0  0 2025-12-22 10:48:35
 1  0      0   1566     14   1878    0    0     0     0    0 1713 90  1  9  0  0  0 2025-12-22 10:48:36
 1  0      0   1538     14   1878    0    0     0     0    0 2463 91  0  9  0  0  0 2025-12-22 10:48:37
 1  0      0   1575     14   1878    0    0     0 85824    0 2636 88  5  6  1  0  0 2025-12-22 10:48:38
 1  0      0   1559     14   1878    0    0     0     0    0 2452 91  0  9  0  0  0 2025-12-22 10:48:39
 1  0      0   1543     14   1878    0    0     0     0    0 2473 89  2  9  0  0  0 2025-12-22 10:48:40
 1  0      0   1920     14   1878    0    0     0     0    0 2488 90  1  9  0  0  0 2025-12-22 10:48:41
 1  0      0   1468     14   1878    0    0   128     0    0 3041 72 19  9  0  0  0 2025-12-22 10:48:42
 1  0      0   1465     14   1878    0    0     0 36680    0 2580 89  3  8  0  0  0 2025-12-22 10:48:43
 1  0      0   1464     14   1878    0    0     0     0    0 2737 91  0  9  0  0  0 2025-12-22 10:48:44
 1  0      0   1464     14   1878    0    0     0     0    0 2465 91  0  9  0  0  0 2025-12-22 10:48:45
 1  0      0   1464     14   1878    0    0     0     0    0 2745 90  1  9  0  0  0 2025-12-22 10:48:46
 1  0      0   1464     14   1878    0    0     0     0    0 2465 91  0  9  0  0  0 2025-12-22 10:48:47
 1  0      0   1464     14   1878    0    0     0     0    0 2460 91  0  9  0  0  0 2025-12-22 10:48:48
 1  0      0   1459     14   1878    0    0     0     0    0 2689 92  1  7  0  0  0 2025-12-22 10:48:49
 1  0      0   1459     14   1878    0    0     0     0    0 2196 90  1  9  0  0  0 2025-12-22 10:48:50
 1  0      0   1459     14   1878    0    0     0     0    0 1924 91  0  9  0  0  0 2025-12-22 10:48:51
 1  0      0   1459     14   1878    0    0     0     0    0 1917 91  0  9  0  0  0 2025-12-22 10:48:52
 1  0      0   1459     14   1878    0    0     0     0    0 1922 91  0  9  0  0  0 2025-12-22 10:48:53
 1  0      0   1459     14   1878    0    0     0     0    0 1947 91  0  9  0  0  0 2025-12-22 10:48:54
