procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 1  0      0   2835     14   1878    0    0   398  2667    0   16  4  1 93  1  0  0 2025-12-22 10:48:07
 1  0      0   2805     14   1878    0    0     0     0    0  139 89  2  9  0  0  0 2025-12-22 10:48:08
 1  0      0   2778     14   1878    0    0     0     0    0 1442 90  1  9  0  0  0 2025-12-22 10:48:09
 1  0      0   2778     14   1878    0    0     0     0    0 3059 88  3  9  0  0  0 2025-12-22 10:48:10
 1  0      0   2768     14   1878    0    0     0     0    0 2717 89  2  9  0  0  0 2025-12-22 10:48:11
 1  0      0   2742     14   1878    0    0     0     0    0 2773 90  1  9  0  0  0 2025-12-22 10:48:12
 1  0      0   2718     14   1878    0    0     0     0    0 2741 88  2 10  0  0  0 2025-12-22 10:48:13
 1  0      0   2694     14   1878    0    0     0     0    0 3278 89  2  9  0  0  0 2025-12-22 10:48:14
 1  0      0   2654     14   1878    0    0     0     0    0 2822 89  2  9  0  0  0 2025-12-22 10:48:15
 1  0      0   2631     14   1878    0    0     0     0    0 2985 90  1  9  0  0  0 2025-12-22 10:48:16
 1  0      0   2602     14   1878    0    0     0     0    0 2728 90  1  9  0  0  0 2025-12-22 10:48:17
 1  0      0   2582     14   1878    0    0     0     0    0 2224 89  2  9  0  0  0 2025-12-22 10:48:18
 1  0      0   2546     14   1878    0    0     0     0    0 2676 89  3  8  0  0  0 2025-12-22 10:48:19
 1  0      0   2522     14   1878    0    0     0     0    0 3111 90  1  9  0  0  0 2025-12-22 10:48:20
 1  0      0   2500     14   1878    0    0     0     0    0 2989 89  2  9  0  0  0 2025-12-22 10:48:21
 1  0      0   2472     14   1878    0    0     0     0    0 3006 89  2  9  0  0  0 2025-12-22 10:48:22
 1  0      0   2422     14   1878    0    0     0     0    0 2999 89  2  9  0  0  0 2025-12-22 10:48:23
 1  0      0   2406     14   1878    0    0     0     0    0 3011 90  1  9  0  0  0 2025-12-22 10:48:24
 1  0      0   2377     14   1878    0    0     0     0    0 3020 88  3  9  0  0  0 2025-12-22 10:48:25
 1  0      0   2348     14   1878    0    0     0     0    0 2742 89  2  9  0  0  0 2025-12-22 10:48:26
 1  0      0   2319     14   1878    0    0     0     0    0 2737 88  3  9  0  0  0 2025-12-22 10:48:27
 1  0      0   2305     14   1878    0    0     0     0    0 2773 89  2  9  0  0  0 2025-12-22 10:48:28
 1  0      0   2273     14   1878    0    0     0 54272    0 3489 86  6  8  0  0  0 2025-12-22 10:48:29
 1  0      0   2216     14   1878    0    0     0     0    0 3127 89  2  9  0  0  0 2025-12-22 10:48:30
 1  0      0   2191     14   1878    0    0     0     0    0 1945 89  2  9  0  0  0 2025-12-22 10:48:31
 1  0      0   2167     14   1878    0    0     0     0    0  120 89  2  9  0  0  0 2025-12-22 10:48:32
 1  0      0   2151     14   1878    0    0     0     0    0  106 90  1  9  0  0  0 2025-12-22 10:48:33
 1  0      0   2130     14   1878    0    0     0 64248    0 2375 88  5  7  0  0  0 2025-12-22 10:48:34
 1  0      0   2101     14   1878    0    0     0     0    0 1703 90  2  8  0  0  0 2025-12-22 10:48:35
 1  0      0   2076     14   1878    0    0     0     0    0 2194 88  3  9  0  0  0 2025-12-22 10:48:36
 1  0      0   2051     14   1878    0    0     0     0    0 2190 87  3 10  0  0  0 2025-12-22 10:48:37
 1  0      0   2026     14   1878    0    0     0     0    0 1655 89  2  9  0  0  0 2025-12-22 10:48:38
 1  0      0   2002     14   1878    0    0     0     0    0 2376 89  3  8  0  0  0 2025-12-22 10:48:39
 1  0      0   1997     14   1878    0    0     0 35472    0  214 91  2  7  0  0  0 2025-12-22 10:48:40
 1  0      0   1972     14   1878    0    0     0     0    0   94 89  2  9  0  0  0 2025-12-22 10:48:41
 1  0      0   1948     14   1878    0    0     0     0    0   94 89  2  9  0  0  0 2025-12-22 10:48:42
 1  0      0   1924     14   1879    0    0   128     0    0  133 89  2  9  0  0  0 2025-12-22 10:48:43
 1  0      0   1899     14   1879    0    0     0     0    0  140 88  2 10  0  0  0 2025-12-22 10:48:44
 1  0      0   1875     14   1879    0    0     0     0    0 1663 90  2  8  0  0  0 2025-12-22 10:48:45
 1  0      0   1851     14   1879    0    0     0     0    0 1945 89  1 10  0  0  0 2025-12-22 10:48:46
 1  0      0   1834     14   1879    0    0     0     0    0 1120 89  3  8  0  0  0 2025-12-22 10:48:47
 1  0      0   1828     14   1879    0    0     0     0    0 1660 90  0 10  0  0  0 2025-12-22 10:48:48
 1  0      0   1804     14   1879    0    0     0     0    0 1664 89  2  9  0  0  0 2025-12-22 10:48:49
 1  0      0   1780     14   1879    0    0     0     0    0 1683 89  2  9  0  0  0 2025-12-22 10:48:50
 1  0      0   1756     14   1879    0    0     0     0    0  856 89  2  9  0  0  0 2025-12-22 10:48:51
 1  0      0   1732     14   1879    0    0     0     0    0 1654 90  1  9  0  0  0 2025-12-22 10:48:52
 1  0      0   1707     14   1879    0    0     0     0    0 1663 90  1  9  0  0  0 2025-12-22 10:48:53
 1  0      0   1707     14   1879    0    0     0     0    0 1652 90  1  9  0  0  0 2025-12-22 10:48:54
