procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 1  0      0   2849     14   1878    0    0   594  4076    0   25  7  2 89  3  0  0 2025-12-22 10:48:11
 1  0      0   1969     14   1878    0    0     0     0    0 2793 45 46  9  0  0  0 2025-12-22 10:48:12
 1  0      0   1295     14   1878    0    0     0     0    0  498 60 32  8  0  0  0 2025-12-22 10:48:13
 1  0      0   1592     14   1878    0    0     0     0    0  149 84  7  9  0  0  0 2025-12-22 10:48:14
 1  0      0    704     14   1878    0    0     0     0    0  462 57 34  9  0  0  0 2025-12-22 10:48:15
 1  0      0    101     14   1850    0    0     0     0    0 2766 56 35  9  0  0  0 2025-12-22 10:48:16
 1  0      0    114     14   1723    0    0     0     0    0 2813 87  5  8  0  0  0 2025-12-22 10:48:17
 1  0      0   1166     14   1723    0    0     0     0    0 3547 74 17  9  0  0  0 2025-12-22 10:48:18
 1  0      0    655     14   1723    0    0     0     0    0 2531 68 27  5  0  0  0 2025-12-22 10:48:19
 1  0      0    109     14   1712    0    0     0     0    0 3109 77 14  9  0  0  0 2025-12-22 10:48:20
 1  0      0   1341     14   1712    0    0     0     0    0 3716 79 12  9  0  0  0 2025-12-22 10:48:21
 1  0      0    584     14   1712    0    0     0     0    0 2997 70 21  9  0  0  0 2025-12-22 10:48:22
 1  0      0    116     14   1701    0    0     0     0    0 2993 80 11  9  0  0  0 2025-12-22 10:48:23
 1  0      0    849     14   1701    0    0     0     0    0 3685 76 15  9  0  0  0 2025-12-22 10:48:24
 1  0      0    568     14   1701    0    0     0     0    0 3130 71 20  9  0  0  0 2025-12-22 10:48:25
 1  0      0    114     14   1675    0    0   112     0    0 3294 78 15  7  0  0  0 2025-12-22 10:48:26
 1  0      0   1274     14   1675    0    0     0     0    0 3891 78 13  9  0  0  0 2025-12-22 10:48:27
 1  0      0    550     14   1675    0    0     4     0    0 3043 71 20  9  0  0  0 2025-12-22 10:48:28
 1  0      0    115     14   1671    0    0     0     0    0 3809 79 12  9  0  0  0 2025-12-22 10:48:29
 1  0      0   1225     14   1671    0    0     0     0    0 4115 77 14  9  0  0  0 2025-12-22 10:48:30
 1  0      0    700     14   1671    0    0     0     0    0 2474 71 20  9  0  0  0 2025-12-22 10:48:31
 1  0      0    115     14   1671    0    0     0     0    0 2200 74 17  9  0  0  0 2025-12-22 10:48:32
 1  0      0    957     14   1671    0    0     0 62908    0 2809 90  4  6  0  0  0 2025-12-22 10:48:33
 1  0      0    846     14   1671    0    0     0     0    0 2553 66 25  9  0  0  0 2025-12-22 10:48:34
 1  0      0    109     14   1671    0    0     0     0    0 2504 74 17  9  0  0  0 2025-12-22 10:48:35
 1  0      0    812     14   1671    0    0     0     0    0 2659 89  2  9  0  0  0 2025-12-22 10:48:36
 1  0      0    851     14   1671    0    0     0     0    0 2736 65 26  9  0  0  0 2025-12-22 10:48:37
 1  0      0    135     14   1670    0    0     0 21260    0 2276 73 19  8  0  0  0 2025-12-22 10:48:38
 1  0      0    503     14   1670    0    0     0     0    0 1978 91  0  9  0  0  0 2025-12-22 10:48:39
 1  0      0    997     14   1670    0    0     0     0    0 1811 67 24  9  0  0  0 2025-12-22 10:48:40
 1  0      0    192     14   1670    0    0     0     0    0  101 73 18  9  0  0  0 2025-12-22 10:48:41
 1  0      0    503     14   1670    0    0     0     0    0  140 87  4  9  0  0  0 2025-12-22 10:48:42
 1  0      0   2508     14   1670    0    0   192 35468    0 2446 80 13  7  0  0  0 2025-12-22 10:48:43
