procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 1  0      0   2835     14   1878    0    0   591  3962    0   25  6  1 90  2  0  0 2025-12-22 10:48:07
 1  0      0   2600     14   1878    0    0     0     0    0 3332 80 11  9  0  0  0 2025-12-22 10:48:08
 1  0      0   2388     14   1878    0    0     0     0    0 3095 81 10  9  0  0  0 2025-12-22 10:48:09
 1  0      0   2106     14   1878    0    0     0     0    0 3477 77 14  9  0  0  0 2025-12-22 10:48:10
 1  0      0   1905     14   1878    0    0     0     0    0 3015 81 10  9  0  0  0 2025-12-22 10:48:11
 1  0      0   1654     14   1878    0    0     0     0    0 3599 79 12  9  0  0  0 2025-12-22 10:48:12
 1  0      0   1501     14   1878    0    0     0     0    0 3095 84  7  9  0  0  0 2025-12-22 10:48:13
 1  0      0   1297     14   1878    0    0     0     0    0 3523 82  9  9  0  0  0 2025-12-22 10:48:14
 1  0      0    972     14   1878    0    0     0     0    0 2988 76 15  9  0  0  0 2025-12-22 10:48:15
 1  0      0    859     14   1878    0    0     0     0    0 2732 85  6  9  0  0  0 2025-12-22 10:48:16
 1  0      0    493     14   1878    0    0     0     0    0 3044 73 18  9  0  0  0 2025-12-22 10:48:17
 1  0      0    412     14   1878    0    0     0     0    0 3039 88  3  9  0  0  0 2025-12-22 10:48:18
 1  0      0    174     14   1878    0    0     0     0    0 3009 79 12  9  0  0  0 2025-12-22 10:48:19
 1  0      0   1337     14   1878    0    0     0     0    0 4187 80 11  9  0  0  0 2025-12-22 10:48:20
 1  0      0   1114     14   1878    0    0     0     0    0 2985 83  8  9  0  0  0 2025-12-22 10:48:21
 1  0      0    802     14   1878    0    0     0     0    0 3044 81 10  9  0  0  0 2025-12-22 10:48:22
 1  0      0    666     14   1878    0    0     0     0    0 3485 89  4  7  0  0  0 2025-12-22 10:48:23
 1  0      0    324     14   1878    0    0     0     0    0 2992 78 13  9  0  0  0 2025-12-22 10:48:24
 1  0      0    711     14   1878    0    0     0     0    0 3382 85  6  9  0  0  0 2025-12-22 10:48:25
 1  0      0   1403     14   1878    0    0     0     0    0 3432 84  7  9  0  0  0 2025-12-22 10:48:26
 1  0      0   1114     14   1878    0    0     0     0    0 3036 81 10  9  0  0  0 2025-12-22 10:48:27
 1  0      0    875     14   1878    0    0     0     0    0 3056 83  8  9  0  0  0 2025-12-22 10:48:28
 1  0      0    670     14   1878    0    0     0 74192    0 3956 84  8  8  0  0  0 2025-12-22 10:48:29
 1  0      0    452     14   1878    0    0     0     0    0 2848 82 10  8  0  0  0 2025-12-22 10:48:30
 2  0      0    168     14   1878    0    0     0     0    0 2724 82  9  9  0  0  0 2025-12-22 10:48:31
 1  0      0   1370     14   1878    0    0     0     0    0 3365 85  6  9  0  0  0 2025-12-22 10:48:32
 1  0      0   1118     14   1878    0    0     0     0    0 2458 80 11  9  0  0  0 2025-12-22 10:48:33
 1  0      0    980     14   1878    0    0     0 44328    0 2561 84  8  8  0  0  0 2025-12-22 10:48:34
 1  0      0    652     14   1878    0    0     0     0    0 2498 81 11  8  0  0  0 2025-12-22 10:48:35
 1  0      0    500     14   1878    0    0     0     0    0 2454 86  5  9  0  0  0 2025-12-22 10:48:36
 1  0      0    140     14   1878    0    0     0     0    0 2209 81 10  9  0  0  0 2025-12-22 10:48:37
 1  0      0   1401     14   1878    0    0     0     0    0 3289 85  6  9  0  0  0 2025-12-22 10:48:38
 1  0      0   1189     14   1878    0    0     0 35464    0 2515 82 10  8  0  0  0 2025-12-22 10:48:39
 1  0      0   1050     14   1878    0    0     0     0    0 2523 85  6  9  0  0  0 2025-12-22 10:48:40
 1  0      0    667     14   1878    0    0     0     0    0 2537 79 12  9  0  0  0 2025-12-22 10:48:41
 1  0      0    580     14   1878    0    0     0     0    0 2481 87  4  9  0  0  0 2025-12-22 10:48:42
 1  0      0    193     14   1878    0    0   128     0    0 2504 81 10  9  0  0  0 2025-12-22 10:48:43
 1  0      0   1384     14   1878    0    0     0     0    0 3563 83  8  9  0  0  0 2025-12-22 10:48:44
 1  0      0   1257     14   1878    0    0     0     0    0 2472 84  7  9  0  0  0 2025-12-22 10:48:45
 1  0      0   1113     14   1878    0    0     0     0    0 2739 87  4  9  0  0  0 2025-12-22 10:48:46
 1  0      0    722     14   1878    0    0     0     0    0 2493 80 11  9  0  0  0 2025-12-22 10:48:47
 1  0      0    632     14   1878    0    0     0     0    0 2224 88  3  9  0  0  0 2025-12-22 10:48:48
 1  0      0    242     14   1878    0    0     0     0    0 2476 78 13  9  0  0  0 2025-12-22 10:48:49
 1  0      0    165     14   1878    0    0     0     4    0 2740 88  3  9  0  0  0 2025-12-22 10:48:50
 1  0      0   1254     14   1878    0    0     0     0    0 3165 86  5  9  0  0  0 2025-12-22 10:48:51
 1  0      0   1108     14   1878    0    0     0     0    0 2570 78 13  9  0  0  0 2025-12-22 10:48:52
 1  0      0    826     14   1878    0    0     0     0    0 2949 83 10  7  0  0  0 2025-12-22 10:48:53
 1  0      0    614     14   1878    0    0     0     0    0 2467 84  7  9  0  0  0 2025-12-22 10:48:54
 1  0      0    332     14   1878    0    0     0     0    0 2468 82  9  9  0  0  0 2025-12-22 10:48:55
 1  0      0    183     14   1878    0    0     0     0    0 2455 87  4  9  0  0  0 2025-12-22 10:48:56
 1  0      0   1380     14   1878    0    0     0     0    0 3289 83  8  9  0  0  0 2025-12-22 10:48:57
 1  0      0   1067     14   1878    0    0     0     0    0 2489 80 11  9  0  0  0 2025-12-22 10:48:58
 1  0      0    934     14   1878    0    0     0     0    0 3013 87  4  9  0  0  0 2025-12-22 10:48:59
 1  0      0    589     14   1878    0    0     0  1460    0 2733 81 10  9  0  0  0 2025-12-22 10:49:00
 1  0      0    465     14   1878    0    0     0     0    0 2738 87  4  9  0  0  0 2025-12-22 10:49:01
 1  0      0    127     14   1878    0    0     0     0    0 2479 81 10  9  0  0  0 2025-12-22 10:49:02
 1  0      0   1360     14   1878    0    0     0     0    0 3556 82  9  9  0  0  0 2025-12-22 10:49:03
 1  0      0   1183     14   1878    0    0     0     0    0 2464 85  6  9  0  0  0 2025-12-22 10:49:04
 1  0      0   1005     14   1878    0    0     0     0    0 2463 85  6  9  0  0  0 2025-12-22 10:49:05
 1  0      0    659     14   1878    0    0     0     0    0 2207 80 11  9  0  0  0 2025-12-22 10:49:06
 1  0      0    560     14   1878    0    0     0     0    0 2213 87  4  9  0  0  0 2025-12-22 10:49:07
 1  0      0    207     14   1879    0    0     0     0    0 2513 80 11  9  0  0  0 2025-12-22 10:49:08
 1  0      0   1271     14   1879    0    0     0     0    0 3162 83  8  9  0  0  0 2025-12-22 10:49:09
