procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 1  0      0   2833     14   1878    0    0  4465 28398    0  182 50 10 26 13  0  0 2025-12-22 10:48:09
 1  0      0   2067     14   1878    0    0   132     0    0 3549 61 31  8  0  0  0 2025-12-22 10:48:10
 1  0      0   1362     14   1878    0    0     0     0    0 1471 71 20  9  0  0  0 2025-12-22 10:48:11
 1  0      0   1068     14   1878    0    0     0     0    0  305 82  9  9  0  0  0 2025-12-22 10:48:12
 1  0      0   1431     14   1878    0    0     0     0    0  173 90  1  9  0  0  0 2025-12-22 10:48:13
 1  0      0   1431     14   1878    0    0     0     0    0  893 90  1  9  0  0  0 2025-12-22 10:48:14
 1  0      0   1431     14   1878    0    0     0     0    0 2726 91  0  9  0  0  0 2025-12-22 10:48:15
 1  0      0   1431     14   1878    0    0     0     0    0 2765 91  0  9  0  0  0 2025-12-22 10:48:16
 1  0      0   1431     14   1878    0    0     0     0    0 2470 91  0  9  0  0  0 2025-12-22 10:48:17
 1  0      0   1431     14   1878    0    0     0     0    0 2464 91  0  9  0  0  0 2025-12-22 10:48:18
 1  0      0   1431     14   1878    0    0     0     0    0 2473 91  0  9  0  0  0 2025-12-22 10:48:19
 1  0      0   1431     14   1878    0    0     0     0    0 2214 90  1  9  0  0  0 2025-12-22 10:48:20
 1  0      0   1431     14   1878    0    0     0     0    0 3088 91  0  9  0  0  0 2025-12-22 10:48:21
 1  0      0   1431     14   1878    0    0     0     0    0 2503 91  0  9  0  0  0 2025-12-22 10:48:22
 1  0      0   1431     14   1878    0    0     0     0    0 2451 91  0  9  0  0  0 2025-12-22 10:48:23
 1  0      0   1431     14   1878    0    0     0     0    0 1133 91  0  9  0  0  0 2025-12-22 10:48:24
 1  0      0   1431     14   1878    0    0     0     0    0  103 91  0  9  0  0  0 2025-12-22 10:48:25
 1  0      0   1431     14   1878    0    0     0     0    0  248 91  0  9  0  0  0 2025-12-22 10:48:26
 1  0      0   1429     14   1878    0    0    68     0    0 1241 91  1  8  0  0  0 2025-12-22 10:48:27
