procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 1  0      0   2835     14   1878    0    0   525  2898    0   23  6  1 91  2  0  0 2025-12-22 10:48:14
 1  0      0   2065     14   1878    0    0   256 85268    0 3718 41 52  7  0  0  0 2025-12-22 10:48:15
 1  0      0   1250     14   1878    0    0     0     0    0 3338 50 41  9  0  0  0 2025-12-22 10:48:16
 1  0      0    598     14   1878    0    0     0     0    0 2989 64 27  9  0  0  0 2025-12-22 10:48:17
 1  0      0    101     14   1844    0    0     0     0    0 3044 62 30  8  0  0  0 2025-12-22 10:48:18
 1  0      0    981     14   1827    0    0     0     0    0 3061 90  1  9  0  0  0 2025-12-22 10:48:19
 1  1      0   1029     14   1827    0    0     0 120864    0 3083 90  3  5  2  0  0 2025-12-22 10:48:20
 1  0      0   1022     14   1827    0    0     0 191340    0 3138 91  5  2  2  0  0 2025-12-22 10:48:21
 1  0      0   1022     14   1827    0    0     0     0    0 3067 90  2  8  0  0  0 2025-12-22 10:48:22
 1  0      0   1022     14   1827    0    0     0     0    0 2999 91  0  9  0  0  0 2025-12-22 10:48:23
 1  0      0   1022     14   1827    0    0     0     0    0 2993 90  1  9  0  0  0 2025-12-22 10:48:24
 1  0      0   1022     14   1827    0    0     4     0    0 3030 91  0  9  0  0  0 2025-12-22 10:48:25
 1  0      0   1022     14   1827    0    0     0     0    0 3009 91  0  9  0  0  0 2025-12-22 10:48:26
 1  0      0   1022     14   1827    0    0     0     0    0 3008 91  0  9  0  0  0 2025-12-22 10:48:27
 1  0      0   1022     14   1827    0    0     4     0    0 3019 90  1  9  0  0  0 2025-12-22 10:48:28
 1  0      0   1022     14   1827    0    0     0     0    0 3536 90  1  9  0  0  0 2025-12-22 10:48:29
 1  0      0   1021     14   1827    0    0     0     0    0 3378 91  0  9  0  0  0 2025-12-22 10:48:30
 1  0      0   1012     14   1827    0    0     0     0    0 3471 92  1  7  0  0  0 2025-12-22 10:48:31
 1  0      0   1012     14   1827    0    0     0     0    0 2449 90  1  9  0  0  0 2025-12-22 10:48:32
 1  0      0   1012     14   1827    0    0     0     0    0 2455 91  0  9  0  0  0 2025-12-22 10:48:33
 1  0      0   1012     14   1827    0    0     0     0    0 2460 91  0  9  0  0  0 2025-12-22 10:48:34
 1  0      0   1012     14   1827    0    0     0     0    0 2606 91  0  9  0  0  0 2025-12-22 10:48:35
 1  0      0   1012     14   1827    0    0     0     0    0 2471 91  0  9  0  0  0 2025-12-22 10:48:36
 1  0      0   1012     14   1827    0    0     0     0    0 2464 91  0  9  0  0  0 2025-12-22 10:48:37
 1  0      0   1012     14   1827    0    0     0     0    0 2466 90  1  9  0  0  0 2025-12-22 10:48:38
 1  0      0   1021     14   1827    0    0     0     0    0 2468 91  0  9  0  0  0 2025-12-22 10:48:39
 1  0      0   1021     14   1827    0    0     0     0    0 2530 91  0  9  0  0  0 2025-12-22 10:48:40
 1  0      0   1021     14   1827    0    0     0     0    0 2450 91  0  9  0  0  0 2025-12-22 10:48:41
 1  0      0   1021     14   1828    0    0   128     0    0 2501 91  0  9  0  0  0 2025-12-22 10:48:42
 1  0      0   1021     14   1828    0    0     0     0    0 2469 90  1  9  0  0  0 2025-12-22 10:48:43
 1  0      0   1021     14   1828    0    0     0     0    0  343 91  0  9  0  0  0 2025-12-22 10:48:44
 1  0      0   1021     14   1828    0    0     0     0    0   95 91  0  9  0  0  0 2025-12-22 10:48:45
 1  0      0   1021     14   1828    0    0     0     0    0   91 91  0  9  0  0  0 2025-12-22 10:48:46
 1  0      0   1021     14   1828    0    0     0  2272    0   82 91  0  9  0  0  0 2025-12-22 10:48:47
 1  0      0   1021     14   1828    0    0     0     0    0   92 91  0  9  0  0  0 2025-12-22 10:48:48
 1  0      0   1021     14   1828    0    0     0     0    0  100 91  0  9  0  0  0 2025-12-22 10:48:49
 1  0      0   1021     14   1828    0    0     0     0    0  110 91  0  9  0  0  0 2025-12-22 10:48:50
 1  0      0   1014     14   1828    0    0     0     0    0 1872 91  1  8  0  0  0 2025-12-22 10:48:51
 1  0      0   1014     14   1828    0    0     0    16    0 1139 91  0  9  0  0  0 2025-12-22 10:48:52
 1  0      0   1014     14   1828    0    0     0     0    0 1389 91  0  9  0  0  0 2025-12-22 10:48:53
 1  0      0    524     14   1828    0    0     0     0    0 1142 79 12  9  0  0  0 2025-12-22 10:48:54
 1  0      0    295     14   1387    0    0     0     0    0 1768 69 26  5  0  0  0 2025-12-22 10:48:55
 1  0      0    108     14   1006    0    0     0     0    0 1249 74 20  6  0  0  0 2025-12-22 10:48:56
 1  0      0    123     14    785    0    0     0     4    0  997 86  7  7  0  0  0 2025-12-22 10:48:57
 1  0      0    938     14    763    0    0     0     0    0 1984 90  2  8  0  0  0 2025-12-22 10:48:58
 1  0      0    937     14    763    0    0     0     0    0 2459 91  0  9  0  0  0 2025-12-22 10:48:59
 1  0      0    937     14    763    0    0     0     0    0 1428 89  2  9  0  0  0 2025-12-22 10:49:00
 1  0      0    937     14    763    0    0     0     0    0 1656 91  0  9  0  0  0 2025-12-22 10:49:01
 1  0      0    937     14    763    0    0     0     4    0 1291 91  0  9  0  0  0 2025-12-22 10:49:02
