procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 1  0      0   2840     14   1879    0    0   713  3943    0   30  8  2 88  2  0  0 2025-12-22 10:48:18
 1  0      0   1377     14   1879    0    0   116     0    0 3036 48 43  7  1  0  0 2025-12-22 10:48:19
 2  0      0    973     14   1879    0    0     0     0    0 3871 65 29  6  0  0  0 2025-12-22 10:48:20
 1  1      0    639     14   1879    0    0     0 127612    0 3015 63 33  3  1  0  0 2025-12-22 10:48:21
 2  0      0    310     14   1879    0    0     0 71316    0 2931 72 25  2  1  0  0 2025-12-22 10:48:22
 1  0      0    241     14   1879    0    0     0     0    0 2576 77 15  8  0  0  0 2025-12-22 10:48:23
 1  0      0    179     14   1879    0    0     0     0    0 2655 81 10  8  0  0  0 2025-12-22 10:48:24
 2  0      0    101     14   1879    0    0     0     0    0 3070 81 11  8  0  0  0 2025-12-22 10:48:25
 1  0      0    103     14   1841    0    0     0     0    0 2811 74 20  5  0  0  0 2025-12-22 10:48:26
 2  0      0    114     14   1827    0    0     0 84832    0 3228 67 28  5  0  0  0 2025-12-22 10:48:27
 1  0      0    112     14   1827    0    0     0 113744    0 2933 84 11  5  0  0  0 2025-12-22 10:48:28
 1  0      0     94     14   1805    0    0     4     0    0 3070 88  3  9  0  0  0 2025-12-22 10:48:29
 1  0      0    103     14   1726    0    0     0     0    0 3405 84  9  7  0  0  0 2025-12-22 10:48:30
 2  0      0    114     14   1286    0    0     0     0    0 1398 68 29  3  0  0  0 2025-12-22 10:48:31
 1  0      0     80     14    949    0    0     0     0    0  541 65 33  2  0  0  0 2025-12-22 10:48:32
 1  0      0    116     14    887    0    0     0     0    0  509 89  2  9  0  0  0 2025-12-22 10:48:33
 1  0      0    111     14    813    0    0   384  2308    0 2419 87  6  7  0  0  0 2025-12-22 10:48:34
 1  0      0    114      9    699    0    0     0     0    0 2334 84  9  7  0  0  0 2025-12-22 10:48:35
 1  0      0    281      9    695    0    0   888     0    0 2512 87  5  8  0  0  0 2025-12-22 10:48:36
 1  0      0    124      9    691    0    0     0     0    0 2897 77 18  5  0  0  0 2025-12-22 10:48:37
 1  0      0    104      1    541    0    0   404     0    0 2760 75 20  5  0  0  0 2025-12-22 10:48:38
 1  0      0     97      0    522    0    0  9368     0    0 2813 87  4  9  0  0  0 2025-12-22 10:48:39
 1  0      0     94      0    438    0    0  8976     0    0 4243 82 12  5  1  0  0 2025-12-22 10:48:40
 1  0      0     92      0    322    0    0     0     0    0 2724 88  4  8  0  0  0 2025-12-22 10:48:41
 0  1      0    104      1    567    0    0 332696     0    0 5082 13 11  1 76  0  0 2025-12-22 10:48:42
 1  0      0    105      0    544    0    0 42520     0    0  874 75 15  5  5  0  0 2025-12-22 10:48:43
 1  0      0    109      0    485    0    0  2456     0    0  246 87  5  7  1  0  0 2025-12-22 10:48:44
 1  0      0    125      0    356    0    0  1128     0    0  352 84 10  6  0  0  0 2025-12-22 10:48:45
 1  0      0    131      0    552    0    0 205668     0    0 2464 43  8  2 46  0  0 2025-12-22 10:48:46
 1  0      0    120      0    470    0    0  4152     0    0  431 84  9  6  1  0  0 2025-12-22 10:48:47
 1  0      0    114      0    407    0    0  1388     0    0  197 86  7  7  0  0  0 2025-12-22 10:48:48
 0  1      0    180      0    461    0    0 70740     0    0 2031 69 11  3 17  0  0 2025-12-22 10:48:49
 1  0      0    172      0    438    0    0 82384     0    0 1740 66 10  4 19  0  0 2025-12-22 10:48:50
 1  0      0    117      0    439    0    0   108     0    0 1655 89  3  8  0  0  0 2025-12-22 10:48:51
 1  0      0    102      0    366    0    0  6964     0    0 1212 87  5  8  0  0  0 2025-12-22 10:48:52
 1  0      0    158      0    468    0    0 127928     0    0 2746 55 10  3 32  0  0 2025-12-22 10:48:53
 2  0      0    100      0    532    0    0 69384     0    0 2380 71  7  4 17  0  0 2025-12-22 10:48:54
 1  0      0     89      0    478    0    0 10740     0    0 2038 82 12  6  0  0  0 2025-12-22 10:48:55
 1  0      0    108      0    391    0    0   104     0    0 1512 86  6  7  0  0  0 2025-12-22 10:48:56
 1  0      0    236      0    352    0    0 32032     0    0 1678 76  7  7 10  0  0 2025-12-22 10:48:57
 1  0      0    115      0    544    0    0 216348     0    0 3900 36  7  2 55  0  0 2025-12-22 10:48:58
 1  0      0    155      0    449    0    0  5312     0    0 2049 78 17  4  1  0  0 2025-12-22 10:48:59
 1  0      0    107      0    437    0    0 23712     0    0 3376 83 12  5  0  0  0 2025-12-22 10:49:00
 1  0      0    101      0    366    0    0   440     0    0 1842 88  4  7  0  0  0 2025-12-22 10:49:01
 0  1      0    105      0    535    0    0 224880     0    0 3757 36 10  3 51  0  0 2025-12-22 10:49:02
 1  0      0    112      0    477    0    0 35128     0    0 2015 76 12  5  7  0  0 2025-12-22 10:49:03
 1  0      0    124      0    415    0    0  1228     0    0 1835 86  7  7  0  0  0 2025-12-22 10:49:04
 1  0      0    111      0    351    0    0   560     0    0 1810 86  7  7  0  0  0 2025-12-22 10:49:05
 1  0      0    104      0    552    0    0 211192    16    0 2602 41 10  3 45  0  0 2025-12-22 10:49:06
 1  0      0     90      0    496    0    0  1512     0    0  387 83 10  7  0  0  0 2025-12-22 10:49:07
 1  0      0    102      0    369    0    0  4504     0    0  452 87  7  6  0  0  0 2025-12-22 10:49:08
 0  2      0    503      0    314    0    0 22232     0    0 2383 83 10  5  2  0  0 2025-12-22 10:49:09
