procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 UTC
 2  0      0   2828     14   1878    0    0  1094  7336    0   45 12  3 81  4  0  0 2025-12-22 10:48:08
 1  0      0   1884     14   1878    0    0   116     0    0 3423 71 20  8  1  0  0 2025-12-22 10:48:09
 1  0      0   1659     14   1878    0    0     0     0    0 3324 85  6  9  0  0  0 2025-12-22 10:48:10
 1  0      0   1547     14   1878    0    0     0     0    0 2999 88  3  9  0  0  0 2025-12-22 10:48:11
 1  0      0   1466     14   1878    0    0     0     0    0 3094 85  6  9  0  0  0 2025-12-22 10:48:12
 1  0      0   1341     14   1878    0    0     0     0    0 1361 86  5  9  0  0  0 2025-12-22 10:48:13
 1  0      0   1071     14   1878    0    0     0  4812    0  227 81 10  9  0  0  0 2025-12-22 10:48:14
 1  0      0    956     14   1878    0    0     0     0    0  122 86  5  9  0  0  0 2025-12-22 10:48:15
 1  0      0    837     14   1878    0    0     0     0    0  610 86  7  7  0  0  0 2025-12-22 10:48:16
 1  0      0    625     14   1878    0    0     0     0    0  128 82  9  9  0  0  0 2025-12-22 10:48:17
 1  0      0    507     14   1878    0    0     0     0    0  286 81 10  9  0  0  0 2025-12-22 10:48:18
 1  0      0    377     14   1878    0    0     0     0    0 2300 83  8  9  0  0  0 2025-12-22 10:48:19
 1  0      0    388     14   1878    0    0     0     0    0 2808 84  7  9  0  0  0 2025-12-22 10:48:20
 1  0      0    240     14   1878    0    0     0     0    0 2212 83  8  9  0  0  0 2025-12-22 10:48:21
 1  0      0    203     14   1878    0    0     0     0    0 1966 89  2  9  0  0  0 2025-12-22 10:48:22
 1  0      0    174     14   1878    0    0     0     0    0 2595 88  4  8  0  0  0 2025-12-22 10:48:23
 1  0      0    119     14   1878    0    0     0     0    0 2518 88  3  9  0  0  0 2025-12-22 10:48:24
 1  0      0    115     14   1795    0    0     0     0    0 2762 84  8  8  0  0  0 2025-12-22 10:48:25
 1  0      0    257     14   1795    0    0     0     0    0 2726 89  2  9  0  0  0 2025-12-22 10:48:26
 1  0      0    256     14   1795    0    0     0     0    0 2503 91  0  9  0  0  0 2025-12-22 10:48:27
 1  0      0    256     14   1795    0    0   132     0    0 2093 90  1  9  0  0  0 2025-12-22 10:48:28
 1  0      0    248     14   1795    0    0     0     0    0 3626 88  3  9  0  0  0 2025-12-22 10:48:29
 1  0      0    123     14   1795    0    0     0 31992    0 2221 88  4  8  0  0  0 2025-12-22 10:48:30
 1  0      0    221     14   1779    0    0     0     0    0  494 88  3  9  0  0  0 2025-12-22 10:48:31
 1  0      0    221     14   1779    0    0     0     0    0  115 91  0  9  0  0  0 2025-12-22 10:48:32
